staging_table,source_type,input_manifest,raw_inputs_checked,raw_rows_seen,rows_written,rows_excluded_outside_sector_frame,duplicate_field_mismatches,header_status,checksum_status,output_path,output_sha256,created_at,timezone,analysis_performed,guardrail_notes
stg_nes_sector_2023,api_json,data/manifests/sector_panel_api_payload_manifest.csv,17,17,17,0,0,verified,verified,data/intermediate/sector_panel/stg_nes_sector_2023.csv,d228e8cab85833ea80f6dc5869c2f6c3b5c5bf28211f35fabd6442157acdbdad,2026-06-12T05:01:25Z,UTC,false,"staging only; no ratios, shares, growth, rankings, treatment effects, prediction outcomes, or claim status computed"
stg_aies_nes_sector_2023,api_json,data/manifests/sector_panel_api_payload_manifest.csv,17,425,425,0,0,verified,verified,data/intermediate/sector_panel/stg_aies_nes_sector_2023.csv,830e6e73ffb938dde4a0620de939a3a0954c55a5778139b35e625295576fe23e,2026-06-12T05:01:25Z,UTC,false,"staging only; no ratios, shares, growth, rankings, treatment effects, prediction outcomes, or claim status computed"
stg_susb_sector_2022,csv,data/manifests/susb_2022_manifest.csv,1,570105,17,1986,0,verified,verified,data/intermediate/sector_panel/stg_susb_sector_2022.csv,a327e5e813ed980482afc4915866f2790fbd4937adcf74a110a07b30452cd0b3,2026-06-12T05:01:25Z,UTC,false,"staging only; no ratios, shares, growth, rankings, treatment effects, prediction outcomes, or claim status computed"
stg_bds_sector_age_size,csv,data/manifests/bds_2023_manifest.csv,1,104880,93840,11040,0,verified,verified,data/intermediate/sector_panel/stg_bds_sector_age_size.csv,9cae74c155bac16aae82e24b243494543d40484b48aa997778793f6e3c45168c,2026-06-12T05:01:25Z,UTC,false,"staging only; no ratios, shares, growth, rankings, treatment effects, prediction outcomes, or claim status computed"
qa_sector_panel_staging_summary,qa_summary,data/manifests/sector_panel_staging_manifest.csv,4,4,4,0,0,verified,verified,data/intermediate/sector_panel/qa_sector_panel_staging_summary.csv,0c69fed9d4d1d36ff50f4ffdfe107a612d816d2ea60722251067a18a3a136e38,2026-06-12T05:01:25Z,UTC,false,"staging only; no ratios, shares, growth, rankings, treatment effects, prediction outcomes, or claim status computed"
